dsname	source	source_field	target	concept_id	additional	incount	invalid_persid	invalid_date	invalid_source	outcount
MumPredict_CPRD_Gold	demographics_child_gold	all	all	all		10000	0	0	0	0
MumPredict_CPRD_Gold	demographics_child_gold	all	person	all		0	10000	0	0	0
MumPredict_CPRD_Gold	infant_data_gold	all	all	all		10000	0	0	0	0
MumPredict_CPRD_Gold	infant_data_gold	all	person	all		0	10000	0	0	0
MumPredict_CPRD_Gold	post_birth_mother	all	all	all		10000	0	0	0	0
MumPredict_CPRD_Gold	post_birth_mother	all	measurement	all		0	10000	0	0	0
MumPredict_CPRD_Gold	pregnancy_gold	all	all	all		10000	0	0	0	0
MumPredict_CPRD_Gold	pregnancy_gold	all	observation	all		0	10000	0	0	0
